"app"	FP64 Inst (G; absolute)	% of FP64 instructions *	FP32 Inst (G; absolute)	% of FP32 instructions	Int Inst (G; absolute)	% of INT instructions
""	12.688197088	22.98469096	0.005296581	0.00959476564	42.509324188	77.00571427
""	12.55461481	23.12437775	0.005105619	0.009404052947	41.731966663	76.8662182
""	-	-	-	-	-	-
XSBn	19.921217183	49.55392658	2.5e-07	0.0000006218737304	20.27986967	50.4460728
""	27.28293801	61.80888731	0.416950189	0.94459135	16.440912901	37.24652134
""	30.602607344	64.48102863	0.416945565	0.8785224936	16.440309306	34.64044887
""	-	-	-	-	-	-
""	-	-	-	-	-	-
""	-	-	-	-	-	-
FFB	1.300291094	0.05529949689	233.640249163	9.936381393	2116.420986	90.00831911
""	2.300203269	0.1123926961	258.561344531	12.63384285	1785.715631468	87.25376446
""	2.300209267	0.11239297	258.565257431	12.63403189	1785.712061049	87.25357514
""	-	-	-	-	-	-
FFVC	127.321923124	0.430745839	1573.781893846	5.324299112	27857.37629	94.24495505
""	134.5887016	0.6148694278	1579.917499872	7.217864185	20174.482830128	92.16726639
""	134.58905104	0.614868098	1579.917492087	7.2178298	20174.586659871	92.1673021
""	-	-	-	-	-	-
MDYL	5363.36575054	33.00104061	0.000000096	0.0000000005906924954	10888.74525	66.99895939
""	6287.279379582	21.38961845	2.062619516	0.007017128045	23104.727808942	78.60336442
""	6287.279383681	21.38961843	2.062616144	0.00701711656	23104.727862112	78.60336446
""	-	-	-	-	-	-
mVMC	1092.393769255	32.93829612	9.6e-08	0.000000002894630596	2224.091593	67.06170388
""	1141.865093624	39.52169047	1.345325086	0.04656375077	1746.000746281	60.43174578
""	1140.670467521	38.73665747	1.346636066	0.04573115681	1802.662541177	61.21761138
""	-	-	-	-	-	-
NGSA	0.825729475	1.26845548	0.022970606	0.0352866065	64.24853731	98.69625791
""	0.825767495	1.180237867	0.022971267	0.03283195249	69.117453492	98.78693018
""	0.825747677	1.177137055	0.022970931	0.03274600077	69.300094875	98.79011694
""	-	-	-	-	-	-
NICM	428.281905411	38.37183275	0.00250102	0.0002240783931	687.8517661	61.62794317
""	422.503623634	31.34771186	0.06553652	0.004862490711	925.228170505	68.64742565
""	422.503623634	31.34771186	0.06553652	0.004862490711	925.228170505	68.64742565
""	-	-	-	-	-	-
NTCh	1315.508831874	62.81264574	4.56e-07	0.00000002177299442	778.8287273	37.18735424
""	1629.20957619	41.41734363	0.627213981	0.01594487128	2303.804127443	58.56671149
""	1575.309594384	44.23551911	0.622601383	0.01748297317	1985.25489123	55.74699792
""	-	-	-	-	-	-
QCD	612.303412113	13.82097465	1.122e-06	0.00000002532589767	3817.94429	86.17902532
""	631.521844655	14.17603075	1.2904e-05	0.0000002896613987	3823.334764358	85.82396896
""	631.521864111	14.17602519	1.2813e-05	0.0000002876185626	3823.336629324	85.82397452
""	-	-	-	-	-	-
""	-	-	-	-	-	-
""	-	-	-	-	-	-
HPL	181484.240413314	85.04267914	0.0	0	31919.47904	14.95732086
""	184191.773933058	90.10530045	0.015298381	0.000007483858736	20226.56686197	9.894692066
""	184893.073040105	90.0565979	0.016097217	0.000007840534937	20414.547774961	9.943394256
""	-	-	-	-	-	-
HPCG	559.046180408	86.11081229	1.02e-07	0.00000001571122952	90.17099156	13.88918769
""	612.798872569	3.377617199	1.3032e-05	0.00000007182961541	17530.135509146	96.62238273
""	612.605070905	3.376177488	1.0184e-05	0.00000005612586832	17532.325776152	96.62382246
